ID,Titulo,Autor,Editora,"Número de
Páginas",Quantidade,Classificação,Disciplina - Referência Básica,Disciplina - Referência Complementar,Sumário
1,"1966 - Oracle: SQL, PL/SQL e administração","MORELLI, Eduardo M. Terra","São Paulo: Érica, 2000",346,1,005.75 M842o,,TSI34A,
2,3D Studio MAX 3: fundamentos ,"PETERSON, Michael Todd ","Campus, 2000. x",541,4,006.68 P485t,,,
3,500 dicas e macetes para PC ,"VASCONCELOS, Laércio ","Makron, 1999. v. ",,1, 004.16 V331q,,,
4,A arte de escrever programas legíveis : técnicas simples e práticas para a elaboração de programas fáceis de serem lidos eentendidos ,"BOSWELL, Dustin ","Novatec, 2012",211,8,005.13 B747a,,"TSI34B, TSI33B, TSI32A",
5,A linguagem de programação C++,"STROUSTRUP, Bjarne ","3. ed. Porto Alegre: Bookman, 2000",823,1,005.133 S925l,,,
7,Adobe Photoshop 5 ,"MINK, Carlos; MAZZETTI, Gerardo ","São Paulo, 1999",246,1,006.6869 M665a,,,
8,Advances in artificial intelligence: 13th Brazilian Symposium on Artificial Intelligence,"BORGES, Díbio L.; KAESTNER, Celso Antônio Alves","Curitiba, Brazil, October 23-25, 1996",241,6,AN 006.3 A244a,,,
9,Ajax com jQuery: requisições Ajax com a simplicidade de jQuery ,"SILVA, Maurício Samy ","Novatec, 2009",327,12,005.133 S586a,TSI32C,TSI34C,
10,Ajax em ação ,"CRANE, Dave ","Pearson Prentice Hall, 2007",452,7,005.133 C891a,,,
11,"Ajax, rich internet aplications e desenvolvimento web para programadores","DEITEL, Paul J.; DEITEL, Harvey M.","São Paulo: Pearson Prentice Hall, 2008. xxiv",747,3,005.133 D325a,"TSI34B, TSI34C",TSI32C,
12,Algoritmos e lógica de programação,"SOUZA, Marco Antonio de; GOMES, Marcelo Marques; SOARES, Marcio Vieira; CONCILIO, Ricardo","São Paulo: Thomson, Cengage Learning, 2006",212,12,005.1 A394a,TSI31B,,
14,Algoritmos: fundamento e prática ,"ARAÚJO, Everton Coimbra de ","Visual Books, 2007",414,17,005.113 A663a,TSI31B,,
15,Algoritmos: teoria e prática,"CORMEN, Thomas H","Rio de Janeiro, RJ: Elsevier, 2012",926,3,005.1 A396a,TSI32B,,
16,An introduction to parallel programming ,"PACHECO, Peter S ","Morgan Kaufmann, c2011. xix",370,7,005.275 P116i,,,
17,Análise e projeto de sistemas de informação orientados a objetos ,"WAZLAWICK, Raul Sidnei ","Elsevier, 2011",330,8,005.117 W359a,,"TSI34D, TSI36C, TSI33F",
18,Analog interfacing to embedded microprocessors: real world design ,"BALL, Stuart R ","Newnes, 2004. xi",322,2,004.61 B187a,,,
19,Android cookbook ,"DARWIN, Ian F ","Novatec, 2012",668,5,005.26 D228a,TSI35B,,
20,API design for C++ ,"REDDY, Martin ",  ,,2,005.133 R313a,,,
21,"Aplicações móveis: arquitetura, projeto e desenvolvimento ","LEE, Valentino; SCHNEIDER, Heather; SCHELL, Robbie ","PearsonEducation do Brasil, 2005. xviii",328,7,004.2 L481a,TSI35B,,
22,Aprendendo Active Server Pages 3 ,"CHASE, Nicholas ","Makron Books do Brasil, c2000",406,1,005.369 C487a,,,
24,Aprendendo Cocoa com objetive-C: desenvolvendo para Mac e iOS App Stores ,"BUTTFIELD-ADDISON, Paris; MANNING, Jonathon ","Novatec, 2013",364,5,005.265 A226a,,,
25,Aprendendo JavaScript ,"POWERS, Shelley ","Novatec, Califórnia, USA: O'Reilly, 2010",407,7,005.133 P887j,,"TSI34C, TSI32C",
26,Aprendendo SQL ,"BEAULIEU, Alan ","Novatec, 2010",365,3,005.133 B377a,"TSI33A, ","TSI34A, TSI31D",
27,Arquitetura de computadores pessoais ,"WEBER, Raul Fernando ","Sagra Luzzatto, 2000-2001",271,1,004.22 W375a,,,
28,Arquitetura de computadores: de microprocessadores a supercomputadores ,"PARHAMI, Behrooz ","McGraw-Hill, 2008",560,5,004.22 P229a,TSI31D,,
29,Arquitetura e organização de computadores,"STALLINGS, William","São Paulo, SP: Prentice-Hall, 2010",624,9,004.22 S782a,,,
32,Banco de dados: projeto e implementação ,"MACHADO, Felipe Nery Rodrigues ","Érica, 2008",398,5,005.74 M149b,"TSI34A, TSI33A",,
33,BrOffice da teoria à prática,"COSTA, Edgard Alves ","Rio de Janeiro, RJ: Brasport, 2007. viii",192,3,005.3 C837b,,,
34,"C, completo e total","SCHILDT, Herbert","São Paulo, SP: Makron, c1997. xv",827,23,005.133 S334,,,
35,C# como programar,"DEITEL, Harvey M.; DEITEL, Paul J.","São Paulo: Makron Books, 2003. xliii",1153,3,005.133 D325c,,"TSI34B, TSI33B",
36,C++ absoluto ,"SAVITCH, Walter J ","Addison Wesley, 2004. ix",612,2,005.133 S267a,,,
246,Ciência da Computação,"Brookshear, J. Glenn","Porto Alegre. Bookman, 2013",561,12,004 B873c,,,
241,Complexidade de Algoritmos,"TOSCANI, Laira Viera","Porto Alegre, Bookman, 2012",262,7,005.113 T713c,,,
37,Computação evolucionária em problemas de engenharia,"LOPES, Heitor Silvério; TAKAHASHI, Ricardo H. C. (Ed.).","Curitiba, PR: Omnipax, 2011",385,1,006.3 C738c,,,
38,Computer networks: a systems approach ,"PETERSON, Larry L; DAVIE, Bruce S ","Elsevier, c2012. xxxi",884,2,004.6 P485c,,,
